message,selected_messages,sentiment
is back home now      gonna miss every one,back home gon na miss every one,negative
hes just not that into you,hes,neutral
 oh marly im so sorry  i hope you find her soon  ,oh marly im sorry hope find soon,neutral
playing ghost online is really interesting the new updates are kirin pet and metamorph for third job  cant wait to have a dragon pet,playing ghost online really interesting new updates kirin pet metamorph third job cant wait dragon pet,positive
is cleaning the house for her family who is comming later today,cleaning house family comming later today,neutral
gotta restart my computer  i thought win was supposed to put an end to the constant rebootiness,got ta restart computer thought win supposed put end constant rebootiness,neutral
see wat i mean bout follw friidays its called lose fllowers friday smh,see wat mean bout follw friidays called lose fllowers friday smh,neutral
the free fillin app on my ipod is fun im addicted,free fillin app ipod fun im addicted,positive
  im sorry,im sorry,negative
on the way to malaysiano internet access to twit,way malaysiano internet access twit,negative
juss came backk from berkeleyy  omg its madd fun out there  havent been out there in a minute  whassqoodd ,juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive
went to sleep and there is a power cut in noida  power back up not working too,went sleep power cut noida power back working,negative
im going home now have you seen my new twitter design quiteheavenly isn,im going home seen new twitter design quiteheavenly,positive
i hope unni will make the audition  fighting dahye unni ,hope unni make audition fighting dahye unni,positive
 if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about  minutes,consolation got bmi tested hahaha says obesed well much unhappy minutes,negative
 thats very funny  cute kids,thats funny cute kids,positive
 ahhh i slept through the game  im gonna try my best to watch tomorrow though i hope we play army,ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
thats it its the end tears for fears vs eric prydz dj hero   httpbitlyhpbg,thats end tears fears vs eric prydz dj hero httpbitlyhpbg,neutral
born and raised in nyc and living in texas for the past  years  i still miss ny,born raised nyc living texas past years still miss ny,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,case wonder really busy today coming adding tons new blogs updates stay tuned,neutral
im soooooo sleeeeepy the last day o school was todaysniffle,im soooooo sleeeeepy last day school todaysniffle,negative
a little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,little happy wine jeje ok itsm free time cares jaja love day,positive
 car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,car happy big big dent boot hoping theyre going write crossing fingers waiting,neutral
im an avid fan of  magazine and i love your magazines,im avid fan magazine love magazines,positive
mayday,mayday,neutral
ratt rocked nashville toniteone thing sucked no encore  like in the s they still have a fun show pearcy has that hott bad boy look,ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,neutral
 i love to but im only available from pm  and where dear would love to help  convert her vids,love im available pm dear would love help convert vids,positive
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,girl hair salon asked shall trim eyebrows old feel,neutral
egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess,negative
visiting my friendster and facebook,visiting friendster facebook,neutral
